district,mandal,village,lat,long,date,value
ADILABAD,Adilabad,Adilabad,19.668299,78.5247,01/12/21,5.3
ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,01/12/21,3.49
ADILABAD,Bela,Chandpally,19.684431,78.848456,01/12/21,7.6
ADILABAD,Bheempur,Arli,19.83196,78.37931,01/12/21,7.3
ADILABAD,Bheempur,Bheempur,19.772188,78.417841,01/12/21,5.23
ADILABAD,Boath,Boath,19.342416,78.316527,01/12/21,5.65
ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,01/12/21,5.1
ADILABAD,Jainath,Bhoraj,19.739722,78.546472,01/12/21,11.2
ADILABAD,Jainath,Jainath,19.730555,78.64,01/12/21,2.6
ADILABAD,Narnoor,Narnoor,19.495665,78.852654,01/12/21,2.34
ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,01/12/21,8.1
ADILABAD,Talamadugu,Devapur,19.612944,78.463111,01/12/21,5.8
ADILABAD,Talamadugu,Talamadugu,19.6334,78.396899,01/12/21,3.85
ADILABAD,Tamsi,Tamsi,19.6811,78.426799,01/12/21,3.25
ADILABAD,Utnoor,Utnoor,19.367777,78.782777,01/12/21,4.5
BHADRADRI,Allapalli,Allapalli,17.82975,80.475008,01/12/21,5.01
BHADRADRI,Allapalli,Markodu,17.91444,80.507666,01/12/21,5.27
BHADRADRI,Annapureddypalli,Annapureddypalli,17.355422,80.82226,01/12/21,13.32
BHADRADRI,Ashwapuram,Ammagaripalli,17.865166,80.85051,01/12/21,1.37
BHADRADRI,Ashwapuram,Aswapuram,17.847626,80.803745,01/12/21,4.54
BHADRADRI,Ashwapuram,Aswapuram,17.835944,80.825667,01/12/21,3.21
BHADRADRI,Ashwapuram,ASWARAOPET (D),17.243444,81.109888,01/12/21,30.28
BHADRADRI,Aswaraopet (S),Aswaraopet (S),17.244199,81.110599,01/12/21,30.33
BHADRADRI,Aswaraopeta,Duradapadu,17.43166,81.090311,01/12/21,7.03
BHADRADRI,Aswaraopeta,Gummadivalli,17.416861,81.178305,01/12/21,1.96
BHADRADRI,Aswaraopeta,NANDIPADU,17.455835,81.128705,01/12/21,2.48
BHADRADRI,Aswaraopeta,Vinayakapuram,17.34561,81.12147,01/12/21,8.43
BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,01/12/21,5.07
BHADRADRI,Burgampad,Krishnasagar,17.709524,80.811524,01/12/21,7.13
BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,01/12/21,5.56
BHADRADRI,Chandrugonda,Cherla,18.07449,80.83124,01/12/21,3.26
BHADRADRI,Chandrugonda,Maddukuru,17.356111,80.675527,01/12/21,16.48
BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,01/12/21,5.03
BHADRADRI,Cherla,Chinmedisileru,18.061388,80.853833,01/12/21,4.67
BHADRADRI,Chunchupalli,Chunchupalli,17.536377,80.612734,01/12/21,3.68
