district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.52,19.67,01/02/23,10.15
ADILABAD,Bazarhathnoor,Bazarhatnur,78.35,19.46,01/02/23,5.8
ADILABAD,Bela,Chandpally,78.85,19.68,01/02/23,9.85
ADILABAD,Bheempoor,Arli,78.38,19.83,01/02/23,8.1
ADILABAD,Bheempoor,Bheempur,78.42,19.77,01/02/23,6.93
ADILABAD,Boath,Boath,78.32,19.34,01/02/23,9.5
ADILABAD,Gudihathnur,Gudihatnoor,78.51,19.53,01/02/23,13.2
ADILABAD,Jainad,Bhoraj,78.55,19.74,01/02/23,13.9
ADILABAD,Jainad,Jainath,78.64,19.73,01/02/23,2.9
ADILABAD,Narnoor,Narnoor,78.85,19.5,01/02/23,4.63
ADILABAD,Neradigonda,Neradigonda,78.41,19.29,01/02/23,9.85
ADILABAD,Talamadugu,Devapur,78.46,19.61,01/02/23,7.3
ADILABAD,Talamadugu,Talamadugu,78.4,19.63,01/02/23,5.7
ADILABAD,Tamsi,Tamsi,78.43,19.68,01/02/23,4.7
ADILABAD,Utnur,Utnoor,78.77,19.38,01/02/23,4.9
BHADRADRI,Allapalli,Allapalli,80.48,17.83,01/02/23,7.27
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/02/23,5.47
BHADRADRI,Annapureddipalle,Annapureddypalli,80.83,17.35,01/02/23,16.15
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/02/23,
BHADRADRI,Aswapuram,Aswapuram,80.81,17.84,01/02/23,7.36
BHADRADRI,Aswapuram,Aswapuram,80.81,17.87,01/02/23,6.97
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/02/23,32.44
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.11,17.24,01/02/23,32.4
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/02/23,5.1
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/02/23,2.71
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/02/23,3.68
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/02/23,13.17
BHADRADRI,Bhadrachalam,Bhadrachalam,80.9,17.67,01/02/23,
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/02/23,8.91
BHADRADRI,Burgampadu,M.Banjara,80.79,17.64,01/02/23,10.66
BHADRADRI,Cherla,Cherla,80.83,18.07,01/02/23,3.98
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/02/23,23.38
BHADRADRI,Chandrugonda,Ravikampadu,80.61,17.4,01/02/23,9.68
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/02/23,4.42
BHADRADRI,Cherla,Chunchupalli,80.61,17.53,01/02/23,
BHADRADRI,Dammapeta,Malkaram,81.07,17.31,01/02/23,13.1
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/02/23,40.42
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/02/23,11.55
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/02/23,5.23
BHADRADRI,Dummugudem,Dummugudem,80.89,17.85,01/02/23,1.98
BHADRADRI,Gundala,Gundala,80.33,17.91,01/02/23,
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/02/23,
BHADRADRI,Gundala,Mamakannu,80.41,17.87,01/02/23,6.68
BHADRADRI,Gundala,Sainapalli,80.35,17.96,01/02/23,4.83
BHADRADRI,Gundala,Settupalli,80.35,17.81,01/02/23,6.89
BHADRADRI,Julurpad,P. Narsapuram,80.52,17.44,01/02/23,9.78
BHADRADRI,Julurpad,Papakollu,80.48,17.42,01/02/23,5.6
BHADRADRI,Karakagudem,karakagudem,80.51,18.09,01/02/23,2.69
BHADRADRI,Karakagudem,Karakagudem,80.57,18.03,01/02/23,4.9
BHADRADRI,Kothagudem,Kothagudem,80.62,17.55,01/02/23,
BHADRADRI,Laxmidevipalli,Bangaruchelka,80.6,17.76,01/02/23,
BHADRADRI,Laxmidevipalli,Laxmidevipalli,80.62,17.57,01/02/23,6.12
BHADRADRI,Manuguru,Manuguru,80.83,17.96,01/02/23,6.95
BHADRADRI,Manuguru,Pagideru,80.73,17.97,01/02/23,2.71
BHADRADRI,Mulakalapalle,Mulakalapalli (D),80.83,17.5,01/02/23,10.7
BHADRADRI,Mulakalapalle,MULAKALAPALLI (S),80.85,17.48,01/02/23,10.63
BHADRADRI,Mulakalapalle,N. Jaganadhapuram,80.86,17.43,01/02/23,10.91
BHADRADRI,Mulakalapalle,Pusugudem            (Pakeer thanda),80.76,17.54,01/02/23,3.46
BHADRADRI,Mulakalapalle,Thimmampet,80.93,17.54,01/02/23,5.36
BHADRADRI,Palawancha,Danthalaboru,80.84,17.59,01/02/23,7.42
BHADRADRI,Palawancha,Pathapalwancha,80.69,17.55,01/02/23,4.2
BHADRADRI,Palawancha,REGELLA,80.58,17.95,01/02/23,3.08
BHADRADRI,Palawancha,Ulavanoor,80.68,17.78,01/02/23,5.47
BHADRADRI,Palawancha,Yanmbailu,80.68,17.69,01/02/23,4.87
BHADRADRI,Pinapaka,Dugenepalli,80.65,18.13,01/02/23,
BHADRADRI,Pinapaka,Potlapalli ,80.68,18.04,01/02/23,6.07
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,01/02/23,6.78
BHADRADRI,Sujathanagar,Sujathanagar,80.59,17.49,01/02/23,
BHADRADRI,Tekulapalle,Bethampudi,80.45,17.56,01/02/23,8.79
BHADRADRI,Tekulapalle,Bodu,80.44,17.67,01/02/23,4.84
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/02/23,4.5
BHADRADRI,Tekulapalle,Sulanagar,80.5,17.54,01/02/23,12.5
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/02/23,7.92
BHADRADRI,Yellandu,Narayanapuram D,80.38,17.51,01/02/23,8.86
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/02/23,8.94
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/02/23,5.19
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/02/23,4.01
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.88,18.44,01/02/23,4.89
BHUPALPALLY,Bhupalpalle,Gudadpally,79.81,18.39,01/02/23,4.28
BHUPALPALLY,Bhupalpalle,Nandigama,80.06,18.5,01/02/23,2.49
BHUPALPALLY,Chityal,Chityala,79.67,18.34,01/02/23,4.19
BHUPALPALLY,Chityal,Jadalpet,79.74,18.38,01/02/23,7.58
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.85,18.37,01/02/23,5.97
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.84,18.38,01/02/23,5.29
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.89,18.3,01/02/23,5.92
BHUPALPALLY,Kataram,Jadaraopet,79.88,18.7,01/02/23,14.92
BHUPALPALLY,Kataram,Medipally,79.92,18.55,01/02/23,17.64
