district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.52,19.67,01/01/23,8.5
ADILABAD,Bazarhathnoor,Bazarhatnur,78.35,19.46,01/01/23,5.4
ADILABAD,Bela,Chandpally,78.85,19.68,01/01/23,8.6
ADILABAD,Bheempoor,Arli,78.38,19.83,01/01/23,7.23
ADILABAD,Bheempoor,Bheempur,78.42,19.77,01/01/23,5.15
ADILABAD,Boath,Boath,78.32,19.34,01/01/23,7.78
ADILABAD,Gudihathnur,Gudihatnoor,78.51,19.53,01/01/23,5.85
ADILABAD,Jainad,Bhoraj,78.55,19.74,01/01/23,12.45
ADILABAD,Jainad,Jainath,78.64,19.73,01/01/23,2.15
ADILABAD,Narnoor,Narnoor,78.85,19.5,01/01/23,3.4
ADILABAD,Neradigonda,Neradigonda,78.41,19.29,01/01/23,9.89
ADILABAD,Talamadugu,Devapur,78.46,19.61,01/01/23,6.25
ADILABAD,Talamadugu,Talamadugu,78.4,19.63,01/01/23,4.25
ADILABAD,Tamsi,Tamsi,78.43,19.68,01/01/23,4.05
ADILABAD,Utnur,Utnoor,78.77,19.38,01/01/23,4.81
BHADRADRI,Allapalli,Allapalli,80.48,17.83,01/01/23,5.02
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/01/23,5.33
BHADRADRI,Annapureddipalle,Annapureddypalli,80.83,17.35,01/01/23,15.12
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/01/23,
BHADRADRI,Aswapuram,Aswapuram,80.81,17.84,01/01/23,7.81
BHADRADRI,Aswapuram,Aswapuram,80.81,17.87,01/01/23,8.15
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/01/23,31.76
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.11,17.24,01/01/23,31.75
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/01/23,3.88
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/01/23,2.37
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/01/23,2.44
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/01/23,12.73
BHADRADRI,Bhadrachalam,Bhadrachalam,80.9,17.67,01/01/23,
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/01/23,8.28
BHADRADRI,Burgampadu,M.Banjara,80.79,17.64,01/01/23,9.26
BHADRADRI,Cherla,Cherla,80.83,18.07,01/01/23,3.72
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/01/23,21.28
BHADRADRI,Chandrugonda,Ravikampadu,80.61,17.4,01/01/23,6.42
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/01/23,4.06
BHADRADRI,Cherla,Chunchupalli,80.61,17.53,01/01/23,
BHADRADRI,Dammapeta,Malkaram,81.07,17.31,01/01/23,10.89
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/01/23,39.16
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/01/23,8.65
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/01/23,4.16
BHADRADRI,Dummugudem,Dummugudem,80.89,17.85,01/01/23,1.35
BHADRADRI,Gundala,Gundala,80.33,17.91,01/01/23,
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/01/23,
BHADRADRI,Gundala,Mamakannu,80.41,17.87,01/01/23,6.55
BHADRADRI,Gundala,Sainapalli,80.35,17.96,01/01/23,4.33
BHADRADRI,Gundala,Settupalli,80.35,17.81,01/01/23,4.57
BHADRADRI,Julurpad,P. Narsapuram,80.52,17.44,01/01/23,8.75
BHADRADRI,Julurpad,Papakollu,80.48,17.42,01/01/23,3.29
BHADRADRI,Karakagudem,karakagudem,80.51,18.09,01/01/23,2.41
BHADRADRI,Karakagudem,Karakagudem,80.57,18.03,01/01/23,2.62
BHADRADRI,Kothagudem,Kothagudem,80.62,17.55,01/01/23,
BHADRADRI,Laxmidevipalli,Bangaruchelka,80.6,17.76,01/01/23,
BHADRADRI,Laxmidevipalli,Laxmidevipalli,80.62,17.57,01/01/23,5.94
BHADRADRI,Manuguru,Manuguru,80.83,17.96,01/01/23,4.18
BHADRADRI,Manuguru,Pagideru,80.73,17.97,01/01/23,2.48
BHADRADRI,Mulakalapalle,Mulakalapalli (D),80.83,17.5,01/01/23,7.84
BHADRADRI,Mulakalapalle,MULAKALAPALLI (S),80.85,17.48,01/01/23,7.12
BHADRADRI,Mulakalapalle,N. Jaganadhapuram,80.86,17.43,01/01/23,7.2
BHADRADRI,Mulakalapalle,Pusugudem            (Pakeer thanda),80.76,17.54,01/01/23,2.9
BHADRADRI,Mulakalapalle,Thimmampet,80.93,17.54,01/01/23,4.98
BHADRADRI,Palawancha,Danthalaboru,80.84,17.59,01/01/23,7.16
BHADRADRI,Palawancha,Pathapalwancha,80.69,17.55,01/01/23,4.29
BHADRADRI,Palawancha,REGELLA,80.58,17.95,01/01/23,2.18
BHADRADRI,Palawancha,Ulavanoor,80.68,17.78,01/01/23,4.18
BHADRADRI,Palawancha,Yanmbailu,80.68,17.69,01/01/23,5.58
BHADRADRI,Pinapaka,Dugenepalli,80.65,18.13,01/01/23,
BHADRADRI,Pinapaka,Potlapalli ,80.68,18.04,01/01/23,3.67
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,01/01/23,6.03
BHADRADRI,Sujathanagar,Sujathanagar,80.59,17.49,01/01/23,
BHADRADRI,Tekulapalle,Bethampudi,80.45,17.56,01/01/23,8.55
BHADRADRI,Tekulapalle,Bodu,80.44,17.67,01/01/23,4.55
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/01/23,3.85
BHADRADRI,Tekulapalle,Sulanagar,80.5,17.54,01/01/23,9.05
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/01/23,4.22
BHADRADRI,Yellandu,Narayanapuram D,80.38,17.51,01/01/23,5.87
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/01/23,5.87
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/01/23,4.86
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/01/23,3.6
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.88,18.44,01/01/23,4.26
