district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.52,19.67,01/06/23,9.9
ADILABAD,Bazarhathnoor,Bazarhatnur,78.35,19.46,01/06/23,6.41
ADILABAD,Bela,Chandpally,78.85,19.68,01/06/23,8
ADILABAD,Bheempoor,Arli,78.38,19.83,01/06/23,8.4
ADILABAD,Bheempoor,Bheempur,78.42,19.77,01/06/23,7.31
ADILABAD,Boath,Boath,78.32,19.34,01/06/23,
ADILABAD,Gudihathnur,Gudihatnoor,78.51,19.53,01/06/23,18.4
ADILABAD,Jainad,Bhoraj,78.55,19.74,01/06/23,15.3
ADILABAD,Jainad,Jainath,78.64,19.73,01/06/23,4.4
ADILABAD,Narnoor,Narnoor,78.85,19.5,01/06/23,4.26
ADILABAD,Neradigonda,Neradigonda,78.41,19.29,01/06/23,9.9
ADILABAD,Talamadugu,Devapur,78.46,19.61,01/06/23,9.4
ADILABAD,Talamadugu,Talamadugu,78.4,19.63,01/06/23,6.03
ADILABAD,Tamsi,Tamsi,78.43,19.68,01/06/23,5.7
ADILABAD,Utnur,Utnoor,78.77,19.38,01/06/23,5.8
BHADRADRI,Allapalli,Allapalli,80.48,17.83,01/06/23,8.94
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/06/23,5.27
BHADRADRI,Annapureddipalle,Annapureddypalli,80.83,17.35,01/06/23,16.56
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/06/23,
BHADRADRI,Aswapuram,Aswapuram,80.81,17.84,01/06/23,8.74
BHADRADRI,Aswapuram,Aswapuram,80.81,17.87,01/06/23,
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/06/23,
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.11,17.24,01/06/23,33.99
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/06/23,7.91
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/06/23,4.27
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/06/23,3.84
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/06/23,16.09
BHADRADRI,Bhadrachalam,Bhadrachalam,80.9,17.67,01/06/23,13.47
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/06/23,9.82
BHADRADRI,Burgampadu,M.Banjara,80.79,17.64,01/06/23,11.84
BHADRADRI,Cherla,Cherla,80.83,18.07,01/06/23,6.93
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/06/23,22.76
BHADRADRI,Chandrugonda,Ravikampadu,80.61,17.4,01/06/23,11.25
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/06/23,5.22
BHADRADRI,Cherla,Chunchupalli,80.61,17.53,01/06/23,
