district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.52,19.67,01/05/23,8.2
ADILABAD,Bazarhathnoor,Bazarhatnur,78.35,19.46,01/05/23,7.21
ADILABAD,Bela,Chandpally,78.85,19.68,01/05/23,7.9
ADILABAD,Bheempoor,Arli,78.38,19.83,01/05/23,7.8
ADILABAD,Bheempoor,Bheempur,78.42,19.77,01/05/23,7.06
ADILABAD,Boath,Boath,78.32,19.34,01/05/23,
ADILABAD,Gudihathnur,Gudihatnoor,78.51,19.53,01/05/23,18.02
ADILABAD,Jainad,Bhoraj,78.55,19.74,01/05/23,14.85
ADILABAD,Jainad,Jainath,78.64,19.73,01/05/23,2.65
ADILABAD,Narnoor,Narnoor,78.85,19.5,01/05/23,3.85
ADILABAD,Neradigonda,Neradigonda,78.41,19.29,01/05/23,9.9
ADILABAD,Talamadugu,Devapur,78.46,19.61,01/05/23,8.65
ADILABAD,Talamadugu,Talamadugu,78.4,19.63,01/05/23,5.99
ADILABAD,Tamsi,Tamsi,78.43,19.68,01/05/23,5.1
ADILABAD,Utnur,Utnoor,78.77,19.38,01/05/23,5.2
BHADRADRI,Allapalli,Allapalli,80.48,17.83,01/05/23,9.34
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/05/23,5.47
BHADRADRI,Annapureddipalle,Annapureddypalli,80.83,17.35,01/05/23,16.28
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/05/23,4.77
BHADRADRI,Aswapuram,Aswapuram,80.81,17.84,01/05/23,9.39
BHADRADRI,Aswapuram,Aswapuram,80.81,17.87,01/05/23,9.76
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/05/23,33.6
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.11,17.24,01/05/23,31.9
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/05/23,7.52
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/05/23,3.95
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/05/23,3.62
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/05/23,15.87
BHADRADRI,Bhadrachalam,Bhadrachalam,80.9,17.67,01/05/23,11.69
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/05/23,10.41
BHADRADRI,Burgampadu,M.Banjara,80.79,17.64,01/05/23,12.27
BHADRADRI,Cherla,Cherla,80.83,18.07,01/05/23,5.58
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/05/23,22.1
BHADRADRI,Chandrugonda,Ravikampadu,80.61,17.4,01/05/23,11.03
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/05/23,5.45
BHADRADRI,Cherla,Chunchupalli,80.61,17.53,01/05/23,
BHADRADRI,Dammapeta,Malkaram,81.07,17.31,01/05/23,14.63
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/05/23,42.06
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/05/23,14.03
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/05/23,6.96
BHADRADRI,Dummugudem,Dummugudem,80.89,17.85,01/05/23,3.02
BHADRADRI,Gundala,Gundala,80.33,17.91,01/05/23,2.27
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/05/23,7.46
BHADRADRI,Gundala,Mamakannu,80.41,17.87,01/05/23,6.97
BHADRADRI,Gundala,Sainapalli,80.35,17.96,01/05/23,4.29
BHADRADRI,Gundala,Settupalli,80.35,17.81,01/05/23,3.12
BHADRADRI,Julurpad,P. Narsapuram,80.52,17.44,01/05/23,11.91
BHADRADRI,Julurpad,Papakollu,80.48,17.42,01/05/23,6.91
BHADRADRI,Karakagudem,karakagudem,80.51,18.09,01/05/23,3.04
BHADRADRI,Karakagudem,Karakagudem,80.57,18.03,01/05/23,6.9
BHADRADRI,Kothagudem,Kothagudem,80.62,17.55,01/05/23,27.13
BHADRADRI,Laxmidevipalli,Bangaruchelka,80.6,17.76,01/05/23,8.62
BHADRADRI,Laxmidevipalli,Laxmidevipalli,80.62,17.57,01/05/23,7.84
BHADRADRI,Manuguru,Manuguru,80.83,17.96,01/05/23,6.67
BHADRADRI,Manuguru,Pagideru,80.73,17.97,01/05/23,2.83
BHADRADRI,Mulakalapalle,Mulakalapalli (D),80.83,17.5,01/05/23,10.05
BHADRADRI,Mulakalapalle,MULAKALAPALLI (S),80.85,17.48,01/05/23,9.32
BHADRADRI,Mulakalapalle,N. Jaganadhapuram,80.86,17.43,01/05/23,8.75
BHADRADRI,Mulakalapalle,Pusugudem            (Pakeer thanda),80.76,17.54,01/05/23,3.34
BHADRADRI,Mulakalapalle,Thimmampet,80.93,17.54,01/05/23,7.47
BHADRADRI,Palawancha,Danthalaboru,80.84,17.59,01/05/23,8.28
BHADRADRI,Palawancha,Pathapalwancha,80.69,17.55,01/05/23,9.72
BHADRADRI,Palawancha,REGELLA,80.58,17.95,01/05/23,3.31
BHADRADRI,Palawancha,Ulavanoor,80.68,17.78,01/05/23,5.35
BHADRADRI,Palawancha,Yanmbailu,80.68,17.69,01/05/23,5.81
BHADRADRI,Pinapaka,Dugenepalli,80.65,18.13,01/05/23,3.68
BHADRADRI,Pinapaka,Potlapalli ,80.68,18.04,01/05/23,6.1
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,01/05/23,10.07
BHADRADRI,Sujathanagar,Sujathanagar,80.59,17.49,01/05/23,3.27
BHADRADRI,Tekulapalle,Bethampudi,80.45,17.56,01/05/23,12.98
BHADRADRI,Tekulapalle,Bodu,80.44,17.67,01/05/23,5.47
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/05/23,5.28
BHADRADRI,Tekulapalle,Sulanagar,80.5,17.54,01/05/23,12.9
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/05/23,8.12
BHADRADRI,Yellandu,Narayanapuram D,80.38,17.51,01/05/23,7.53
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/05/23,7.53
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/05/23,6.33
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/05/23,5.98
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.88,18.44,01/05/23,5.93
BHUPALPALLY,Bhupalpalle,Gudadpally,79.81,18.39,01/05/23,7.12
BHUPALPALLY,Bhupalpalle,Nandigama,80.06,18.5,01/05/23,2.38
BHUPALPALLY,Chityal,Chityala,79.67,18.34,01/05/23,5.34
BHUPALPALLY,Chityal,Jadalpet,79.74,18.38,01/05/23,13.41
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.85,18.37,01/05/23,8.23
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.84,18.38,01/05/23,7.01
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.89,18.3,01/05/23,5.39
BHUPALPALLY,Kataram,Jadaraopet,79.88,18.7,01/05/23,17.43
BHUPALPALLY,Kataram,Medipally,79.92,18.55,01/05/23,21.08
BHUPALPALLY,Kataram,Regulagudem,79.87,18.62,01/05/23,38.09
BHUPALPALLY,Kataram,Shankarampally 125(D),79.9,18.6,01/05/23,18.23
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/05/23,19.06
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.99,18.56,01/05/23,2.49
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.15,18.57,01/05/23,4.93
BHUPALPALLY,Mahadevpur,Ambatipalli,80.06,18.7,01/05/23,22.18
BHUPALPALLY,Mahadevpur,Annaram,79.84,18.76,01/05/23,22.34
BHUPALPALLY,Mahadevpur,Kaleswaram,79.91,18.8,01/05/23,9.08
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/05/23,12.74
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/05/23,11.89
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.98,18.72,01/05/23,11.06
BHUPALPALLY,Malharrao,Mallaram,79.79,18.56,01/05/23,5.14
BHUPALPALLY,Mogullapalle,Aknepally,79.61,18.36,01/05/23,7.59
BHUPALPALLY,Mogullapalle,Rangapur,79.69,18.27,01/05/23,7.28
BHUPALPALLY,Palmela,Kamanpally,80.25,18.63,01/05/23,3.68
BHUPALPALLY,Palmela,Lenkalagadda,80.13,18.67,01/05/23,14.28
BHUPALPALLY,Palmela,Sarvaipet,80.24,18.68,01/05/23,15.23
BHUPALPALLY,Regonda,Gorikothapally,79.81,18.18,01/05/23,7.29
BHUPALPALLY,Regonda,Regonda,79.78,18.24,01/05/23,8.24
BHUPALPALLY,Tekumatla,Ramakrishnapuram,79.63,18.42,01/05/23,6.19
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45,17.45,01/05/23,
HYDERABAD,Ammerpet,S.R.Nagar,78.44,17.44,01/05/23,21.13
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.43,17.45,01/05/23,17.99
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.45,17.38,01/05/23,6.65
HYDERABAD,Asifnagar,Himayanagar,78.45,17.4,01/05/23,3.05
HYDERABAD,Asifnagar,Kulsanapur,78.44,17.37,01/05/23,9.55
HYDERABAD,Bandlaguda,Chandraingutta,78.48,17.33,01/05/23,15.73
HYDERABAD,Bandlaguda,Bahadurpura,78.46,17.35,01/05/23,2.41
HYDERABAD,Charminar,Darul Shifa,78.49,17.38,01/05/23,7.76
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.48,17.41,01/05/23,6.46
HYDERABAD,Himayatnagar,Indira Park,78.5,17.4,01/05/23,3.25
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,01/05/23,7.44
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,01/05/23,7.61
HYDERABAD,Khairatabad,Khairathabad,78.46,17.41,01/05/23,
HYDERABAD,Khairatabad,T.S..Secretariat,78.47,17.41,01/05/23,
HYDERABAD,Maredpally,"Govt.Jr.College,West Maredpally",78.51,17.43,01/05/23,6.39
HYDERABAD,Maredpally,Maredpally(s),78.51,17.44,01/05/23,14.56
HYDERABAD,Musheerabad,Musheerabad,78.51,17.42,01/05/23,7.35
HYDERABAD,Nampally,Nampally,78.47,17.39,01/05/23,4.08
HYDERABAD,Saidabad,Juvinile home,78.51,17.36,01/05/23,4.48
HYDERABAD,Secunderabad,"Sanjeevaiah Park, Hussian Sagar.",78.48,17.44,01/05/23,
HYDERABAD,Shaikpet,Shaikpet,78.45,17.42,01/05/23,
HYDERABAD,Shaikpet,"Vengal Rao Park, Srinagar colony",78.42,17.41,01/05/23,4.3
HYDERABAD,Tirumalgiri,"NIMH,Hasmathpet",78.49,17.46,01/05/23,12.01
JAGITYAL,Beerpur,Kandlapalle,78.96,19.03,01/05/23,2.47
JAGITYAL,Dharmapuri,Dharmapuri,79.1,18.95,01/05/23,7.58
JAGITYAL,Dharmapuri,Jaina,79.08,19.01,01/05/23,7.99
JAGITYAL,Gollapalle,Gollapalli,79.05,18.79,01/05/23,5.02
JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,78.58,18.9,01/05/23,4.15
JAGITYAL,Jagtial,Jagityal,78.85,18.83,01/05/23,8.09
JAGITYAL,Jagityal_Rural,Morapally,78.89,18.79,01/05/23,3.33
JAGITYAL,Kathlapur,Kathalapur,78.69,18.75,01/05/23,3.1
JAGITYAL,Kodimial,Chepial,78.94,18.62,01/05/23,8.45
JAGITYAL,Koratla,Ilapur,78.7,18.86,01/05/23,10.6
JAGITYAL,Koratla,Korutla,78.71,18.82,01/05/23,10.05
JAGITYAL,Mallapur,Mallapur,78.71,18.96,01/05/23,7.45
JAGITYAL,Mallapur,VV Raopet,78.77,18.99,01/05/23,8.7
JAGITYAL,Malial,Nukapalli,78.92,18.71,01/05/23,6.67
JAGITYAL,Medipalle,Desaipet,78.45427,18.42,01/05/23,3.32
JAGITYAL,Medipalle,Katlakunta,78.81,18.84,01/05/23,3.2
JAGITYAL,Medipalle,Rangapur,78.79,18.76,01/05/23,5.19
JAGITYAL,Metpalle,Metpalli,78.62,18.85,01/05/23,
JAGITYAL,Metpalle,Atmakur,78.62,18.75,01/05/23,8.81
JAGITYAL,Metpalle,Bandalingapur,78.59,18.83,01/05/23,4.45
JAGITYAL,Metpalle,Metla Chittapur,78.59,18.78,01/05/23,2.99
JAGITYAL,Pegadapalle,Pegadapalli,79.06,18.71,01/05/23,4.04
JAGITYAL,Raikal,Bornapally,78.82,19.03,01/05/23,4.77
JAGITYAL,Raikal,Itikyal,78.76,18.92,01/05/23,2.3
JAGITYAL,Raikal,Raikal,78.8,18.91,01/05/23,2.7
JAGITYAL,Raikal,Vodde lingapur,78.84,18.96,01/05/23,1.8
JAGITYAL,Sarangapur,Rachapalli,78.93,18.93,01/05/23,6.04
JAGITYAL,Sarangapur,Sarangapur,78.96,18.93,01/05/23,7.09
JAGITYAL,Velgatoor,Chegyam,79.27,18.81,01/05/23,2.95
JAGITYAL,Velgatoor,Stambampally,79.16,18.86,01/05/23,2.36
JAGITYAL,Velgatoor,Velgatur,79.17,18.84,01/05/23,5.11
JANGAON,Bachannapeta,Bachannapet,79.04,17.79,01/05/23,5.14
JANGAON,Bachannapeta,Padamati Keshapur,78.94,17.84,01/05/23,7.73
JANGAON,Chilpur,Kistajigudem,79.3,17.88,01/05/23,9.08
JANGAON,Chilpur,Malkapur,79.31,17.93,01/05/23,7.01
JANGAON,Devaruppala,Devaruppula,79.36,17.54,01/05/23,2.87
JANGAON,Devaruppala,Singarajupalli,79.27,17.59,01/05/23,4.85
JANGAON,Ganpur_stn,Chagal,79.36,17.84,01/05/23,8.62
